Method,Name,Error,Occurrences,First Seen,Last Seen
POST,GetUsers,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c6d4490>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:10Z,2026-06-10T20:39:10Z
POST,GetUsers,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c33fdf0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:45Z,2026-06-10T20:38:45Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c36f8a0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c45a140>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:10Z,2026-06-10T20:39:10Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c237df0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c5d4f30>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:18Z,2026-06-10T20:39:18Z
POST,GetUsers,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c4b6f10>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c407350>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:36Z,2026-06-10T20:38:36Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c404490>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:46Z,2026-06-10T20:38:46Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c33f240>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:16Z,2026-06-10T20:39:16Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c458050>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:19Z,2026-06-10T20:39:19Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c647df0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:46Z,2026-06-10T20:38:46Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c4b7680>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:22Z,2026-06-10T20:39:22Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c234e20>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c36ff00>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:25Z,2026-06-10T20:39:25Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c33fbd0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:09Z,2026-06-10T20:39:09Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c33dd00>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:53Z,2026-06-10T20:38:53Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c33de10>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:10Z,2026-06-10T20:39:10Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c4596a0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:10Z,2026-06-10T20:39:10Z
POST,GetUsers,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c5d4490>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:47Z,2026-06-10T20:38:47Z
POST,GetPlaylists,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c4b56a0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:37Z,2026-06-10T20:38:37Z
POST,GetUsers,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c36d590>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:39:09Z,2026-06-10T20:39:09Z
POST,GetMusics,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8001) at 0x10c36dbf0>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-06-10T20:38:54Z,2026-06-10T20:38:54Z
